Nama;Kegiatan;Kecamatan;Wilayah;Kategori;lat;lng
Perkedel Mbak Parti;Membuat makanan perkedel dirumah;Surakarta;Surakarta;Surakarta;-7.589004;110.8313589
Martabak Bu Ijah Basyadi;Membuat Martabak dirumah ;Surakarta;Surakarta;Surakarta;-7.5891799;110.8318118
Usaha Sayur Mayur Bu Suminah;Menjual Sayur Mayur;Surakarta;Surakarta;Surakarta;-7.5892498;110.8319966
Alinea Stationery;Menjual alat tulis di toko;Surakarta;Surakarta;Surakarta;-7.5889269;110.8326068
Toko Kelontong Pak Guntur;Menjual Snack, sembako, minuman;Surakarta;Surakarta;Surakarta;-7.5883436;110.8322653
Kerupuk Rambak Go Krezzz;Membuat krupuk rambak dirumah;Surakarta;Surakarta;Surakarta;-7.5883393;110.8322607
Toko Kelontong Bu Mardiyah;Menjual Snack, sembako dan minuman ;Surakarta;Surakarta;Surakarta;-7.5883733;110.8331738
Toko Kelontong Hartanto;Menjual sembako, Snack, minuman ;Surakarta;Surakarta;Surakarta;-7.5883712;110.8331725
Tahu Crispy Bu Parmi;Menjual Tahu Crispy di Rumah;Surakarta;Surakarta;Surakarta;-7.5879879;110.8326174
La Beauty Salon;Perawatan Rambut dan Muka;Surakarta;Surakarta;Surakarta;-7.5880402;110.8327337
Toko Kelontong Bu Siti;Menjual Sembako, Snack, minuman dirumah;Surakarta;Surakarta;Surakarta;-7.5881614;110.8328624
Wahyu Aji Cell;Menjual pulsa, kartu perdana dan voucher dirumah;Surakarta;Surakarta;Surakarta;-7.5880579;110.8327331
Mira Reklame;membuat Papan nama, papan reklame, vandel, Piala, Stempel dirumah;Surakarta;Surakarta;Surakarta;-7.587996;110.8326889
Toko Kelontong Siti Fatimah;Menjual sembako, snack dan minuman;Surakarta;Surakarta;Surakarta;-7.5879308;110.8326333
Toko Kelontong Pak Budi;Menjual Snack, sembako, minuman dirumah;Surakarta;Surakarta;Surakarta;-7.5880685;110.832718
Sosis Ayam Pak Sulistyo;Membuat Sosis Goreng ;Surakarta;Surakarta;Surakarta;-7.5895733;110.8312637
Usaha Mainan Anak;jualan mainan anak;Surakarta;Surakarta;Surakarta;-7.5874209;110.8306533
Penjahit Kartini;menjahit pakaian ;Surakarta;Surakarta;Surakarta;-7.5874154;110.8306112
Kue Konde Siti Chotimah;Membuat roti konde dirumah ;Surakarta;Surakarta;Surakarta;-7.5886779;110.8301883
Toko Kelontong Pak Ngatino;menjual sembako, Snack dan minuman;Surakarta;Surakarta;Surakarta;-7.5886821;110.83019
Usaha Kacang Emping Goreng;Menjual Kacang, Emping goreng dirumah;Surakarta;Surakarta;Surakarta;-7.5881649;110.8304468
Telur Asin Pak Ratno;Membuat telur asin dirumah ;Surakarta;Surakarta;Surakarta;-7.5881646;110.8304257
Soto Ayam Sweegerr;Menjual nasi soto dirumah;Surakarta;Surakarta;Surakarta;-7.588131;110.8305184
Batik Barat Bu Tri;Menjual daster, mukena dirumah;Surakarta;Surakarta;Surakarta;-7.5881388;110.830505
Permak Pakaian Baju /Celana;terima permak pakaian baju celana. jahit ;Surakarta;Surakarta;Surakarta;-7.5790525;110.8418112
